Id,area
Id_1,2.096648290098762
Id_2,1.425546786758881
Id_3,2.9172420567806405
Id_4,2.2352939760268344
Id_5,1.9232109563157995
Id_6,1.6973526118503823
Id_7,1.892927294085399
Id_8,2.2352939760268344
Id_9,2.0645678647496832
Id_10,1.7316397548822913
Id_11,0.9963514255545034
Id_12,1.6973526118503823
Id_13,1.8272553162253824
Id_14,2.0540913631888493
Id_15,1.2748000355304403
Id_16,1.181219764960951
Id_17,4.722358344871289
Id_18,1.6973526118503823
Id_19,1.6973526118503823
Id_20,2.1258788666617816
Id_21,1.8476212769569709
Id_22,4.613284149080893
Id_23,2.560382147562348
Id_24,2.096648290098762
Id_25,2.0645678647496832
Id_26,1.3627475183063655
Id_27,2.096648290098762
Id_28,2.560382147562348
Id_29,2.1258788666617816
Id_30,2.2352939760268344
Id_31,1.6973526118503823
Id_32,1.6973526118503823
Id_33,1.6973526118503823
Id_34,1.8573895206684337
Id_35,6.543793882561154
Id_36,5.687436717836196
Id_37,1.892927294085399
Id_38,1.6973526118503823
Id_39,1.6973526118503823
Id_40,2.1258788666617816
Id_41,1.0550769415878096
Id_42,1.6973526118503823
Id_43,1.6973526118503823
Id_44,1.472845167307549
Id_45,2.332012195332817
Id_46,5.687436717836196
Id_47,1.0147670991721172
Id_48,1.8573895206684337
Id_49,2.0645678647496832
Id_50,1.9232109563157995
Id_51,2.560382147562348
Id_52,1.9232109563157995
Id_53,1.6973526118503823
Id_54,1.6973526118503823
Id_55,1.6973526118503823
Id_56,1.6973526118503823
Id_57,2.0165737915991255
Id_58,1.639843593968613
Id_59,1.6973526118503823
Id_60,1.950804384326871
Id_61,1.950804384326871
Id_62,1.892927294085399
Id_63,1.950804384326871
Id_64,2.1351617599948156
Id_65,1.9450435613750785
Id_66,1.8573895206684337
Id_67,1.8573895206684337
